Ch	LOCODE	Name	NameWoDiacritics	SubDiv	Function	Status	Date	IATA	Coordinates	Remarks
 	US  NGA 	Spring Arbor 	Spring Arbor 	MI 	--3----- 	RL 	0701 	 	4212N 08433W 	 
 	US  SB7 	Spring Branch 	Spring Branch 	TX 	--3----- 	RL 	1301 	 	2953N 09825W 	 
 	US  SGD 	Spring City 	Spring City 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  UYL 	Spring City 	Spring City 	PA 	--3----- 	RQ 	9008 	 	 	 
 	US  IQI 	Spring City 	Spring City 	UT 	--3----- 	RL 	1301 	 	3928N 11129W 	 
 	US  IGC 	Spring Creek 	Spring Creek 	NV 	--3----- 	RL 	0607 	 	4047N 11539W 	 
 	US  QSG 	Spring Green 	Spring Green 	WI 	123--6-- 	RL 	0307 	 	4310N 09004W 	 
 	US  S3G 	Spring Grove 	Spring Grove 	VA 	1------- 	RL 	1201 	 	3716N 07951W 	 
 	US  SG3 	Spring Grove 	Spring Grove 	IL 	1-3----- 	RL 	0607 	 	4226N 08811W 	 
 	US  ZSG 	Spring Grove 	Spring Grove 	PA 	123----- 	RL 	0307 	 	3952N 07651W 	 
 	US  PVM 	Spring Grove 	Spring Grove 	MN 	--3----- 	RL 	0501 	 	4333N 09138W 	 
 	US  IR3 	Spring Hill 	Spring Hill 	TN 	--3----- 	RL 	0901 	 	3545N 08654W 	 
 	US  RGI 	Spring Hill 	Spring Hill 	KS 	--3----- 	RL 	0401 	 	3844N 09449W 	 
 	US  SHI 	Spring Hill 	Spring Hill 	FL 	--3----- 	RQ 	9307 	 	 	 
 	US  SRO 	Spring Hope 	Spring Hope 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  SFH 	Spring House 	Spring House 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  SL3 	Spring Lake 	Spring Lake 	NC 	-23--6-- 	RL 	0607 	 	3510N 07858W 	 
 	US  SX7 	Spring Lake 	Spring Lake 	NJ 	--3----- 	RL 	1201 	 	4009N 07401W 	 
 	US  ZPL 	Spring Lake 	Spring Lake 	MI 	-23----- 	RL 	0101 	 	4304N 08610W 	 
 	US  RLH 	Spring Lake Park 	Spring Lake Park 	MN 	--3--6-- 	RL 	0607 	 	4506N 09314W 	 
+ 	US  P7M 	Spring Mills 	Spring Mills 	PA 	--3----- 	RL 	1601 	 	4051N 07734W 	 
 	US  SOS 	Spring Park 	Spring Park 	MN 	--3----- 	RQ 	9307 	 	 	 
 	US  SPN 	Spring Valley 	Spring Valley 	IL 	--3----- 	RQ 	9506 	 	 	 
 	US  VYW 	Spring Valley 	Spring Valley 	WI 	--3----- 	RL 	0401 	 	4450N 09214W 	 
 	US  GTX 	Spring Valley 	Spring Valley 	TX 	-----6-- 	RQ 	1007 	 	2947N 09530W 	 
 	US  JVJ 	Spring Valley 	Spring Valley 	MN 	--3----- 	RL 	0901 	 	4341N 09223W 	 
 	US  SPV 	Spring Valley, Rockland 	Spring Valley, Rockland 	NY 	-23----- 	RL 	0701 	 	4107N 07403W 	 
 	US  PGY 	Spring Valley, San Diego 	Spring Valley, San Diego 	CA 	1-3--6-- 	RL 	0501 	 	3244N 11659W 	 
 	US  SQO 	Springboro 	Springboro 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  SPD 	Springdale 	Springdale 	PA 	--3----- 	RQ 	9008 	 	 	 
 	US  SPZ 	Springdale 	Springdale 	AR 	---4---- 	AI 	9601 	 	 	 
 	US  SRL 	Springdale 	Springdale 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  AZV 	Springerville 	Springerville 	AZ 	--3----- 	RL 	0701 	 	3408N 10917W 	 
 	US  SGF 	Springfield 	Springfield 	MO 	--34---- 	AI 	9601 	 	 	 
 	US  SGH 	Springfield 	Springfield 	OH 	--34---- 	AI 	1101 	 	3955N 08348W 	 
 	US  SNF 	Springfield 	Springfield 	MN 	-23--6-- 	RL 	0401 	 	4414N 09458W 	 
 	US  SPG 	Springfield 	Springfield 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  SPI 	Springfield 	Springfield 	IL 	--34---- 	AI 	9601 	 	 	 
 	US  SPY 	Springfield 	Springfield 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  VSF 	Springfield 	Springfield 	VT 	---4---- 	AI 	9601 	 	 	 
 	US  SFI 	Springfield 	Springfield 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  SRG 	Springfield 	Springfield 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  SFY 	Springfield 	Springfield 	MA 	1-3----- 	RN 	0105 	 	 	 
 	US  S8P 	Springfield 	Springfield 	NE 	--3----- 	RL 	1301 	 	4104N 09608W 	 
 	US  RNF 	Springfield 	Springfield 	KY 	-23--6-- 	RL 	0401 	 	3741N 08513W 	 
 	US  NGF 	Springfield 	Springfield 	PA 	--3----- 	RL 	0701 	 	4150N 07644W 	 
 	US  IID 	Springfield 	Springfield 	ME 	--3----- 	RL 	0701 	 	4523N 06808W 	 
 	US  IGI 	Springfield 	Springfield 	SD 	--3----- 	RL 	0701 	 	4251N 09753W 	 
 	US  IEZ 	Springfield 	Springfield 	SC 	--3----- 	RQ 	0907 	 	3250N 08003W 	 
 	US  IED 	Springfield 	Springfield 	NH 	--3----- 	RL 	0701 	 	4329N 07202W 	 
 	US  SFK 	Springfield 	Springfield 	MD 	--3----- 	RQ 	9307 	 	 	 
 	US  SFG 	Springfield Gardens 	Springfield Gardens 	NY 	--3--6-- 	RL 	0401 	 	4040N 07344W 	 
 	US  VSJ 	Springfield, Calhoun 	Springfield, Calhoun 	MI 	-23----- 	RL 	0607 	 	4219N 08514W 	 
 	US  SIQ 	Springhill 	Springhill 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  RGK 	Springhills 	Springhills 	OH 	--3--6-- 	RL 	0607 	 	4015N 08352W 	 
 	US  SGP 	Springlake 	Springlake 	TX 	--3--6-- 	RL 	0607 	 	3413N 10218W 	 
 	US  SP7 	Springport, Jackson 	Springport, Jackson 	MI 	--3----- 	RL 	0701 	 	4223N 08442W 	 
 	US  SP8 	Springtown 	Springtown 	TX 	--3--6-- 	RQ 	0907 	 	3807N 12214W 	 
 	US  SG9 	Springvale 	Springvale 	ME 	--3--6-- 	RL 	0901 	 	4328N 07048W 	 
 	US  SW9 	Springview 	Springview 	NE 	--3----- 	RL 	1201 	 	4249N 09944W 	 
 	US  SPL 	Springville 	Springville 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  XMN 	Springville 	Springville 	TN 	--3----- 	RQ 	9307 	 	 	 
 	US  SNU 	Springville 	Springville 	UT 	--3----- 	RQ 	0101 	 	 	 
 	US  SG8 	Springville 	Springville 	CA 	--3----- 	RL 	0901 	 	3608N 11848W 	 
 	US  SG5 	Springville 	Springville 	IA 	--3----- 	RL 	0901 	 	4203N 09126W 	 
 	US  IGL 	Springville 	Springville 	NY 	--3----- 	RL 	0701 	 	4230N 07839W 	 
 	US  XPG 	Springville, Suffolk 	Springville, Suffolk 	NY 	1----6-- 	RL 	0901 	 	4052N 07232W 	 
 	US  YSP 	Sproul 	Sproul 	PA 	1-3--6-- 	RL 	0307 	 	4016N 07827W 	 
 	US  UHD 	Spruce Head 	Spruce Head 	ME 	--3--6-- 	RL 	0607 	 	4400N 06907W 	 
 	US  S4P 	Spruce Pine 	Spruce Pine 	AL 	--3----- 	AA 	1507 	 	3423N 08743W 	 
 	US  SPU 	Spruce Pine 	Spruce Pine 	NC 	--3----- 	RQ 	9506 	 	 	 
 	US  SU5 	Spur 	Spur 	TX 	--3----- 	RL 	1107 	 	3329N 10051W 	 
 	US  UEC 	Spurger 	Spurger 	TX 	--3----- 	RL 	0901 	 	3042N 09411W 	 
 	US  SQT 	Squaw Valley 	Squaw Valley 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  S2M 	St. Maries 	St. Maries 	ID 	--3----- 	RL 	1501 	 	4731N 11657W 	 
 	US  GB8 	Staatsburg 	Staatsburg 	NY 	--3----- 	RL 	1201 	 	4150N 07355W 	 
 	US  KSY 	Stacy 	Stacy 	MN 	--3----- 	RL 	0901 	 	4523N 09259W 	 
 	US  TVX 	Stacyville 	Stacyville 	IA 	--3----- 	RL 	1401 	 	4326N 09246W 	 
 	US  STD 	Stafford 	Stafford 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  VSZ 	Stafford 	Stafford 	KS 	-23----- 	RL 	0607 	 	3758N 09836W 	 
 	US  STB 	Stafford 	Stafford 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  JCU 	Stafford 	Stafford 	CT 	--3--6-- 	RL 	0901 	 	4159N 07217W 	 
 	US  XTF 	Stafford 	Stafford 	NY 	--3----- 	RL 	0901 	 	4258N 07804W 	 
 	US  SFC 	Stafford Springs 	Stafford Springs 	CT 	--3----- 	RQ 	9008 	 	 	 
 	US  V3R 	Stain George 	Stain George 	VT 	-23----- 	RL 	1401 	 	4422N 07307W 	 
 	US  SZY 	Staley 	Staley 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  TAI 	Stallings 	Stallings 	NC 	--3--6-- 	RL 	0501 	 	3505N 08041W 	 
 	US  STF 	Stamford 	Stamford 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  XLX 	Stamford 	Stamford 	CT 	--3----- 	RQ 	9307 	 	 	 
 	US  SDJ 	Stamford 	Stamford 	NY 	--3----- 	RQ 	9307 	 	 	 
 	US  9SG 	Stamping Ground 	Stamping Ground 	KY 	--3----- 	RL 	1301 	 	3816N 08441W 	 
 	US  STM 	Stamps 	Stamps 	AR 	--3----- 	RQ 	9307 	 	 	 
 	US  TNB 	Stanberry 	Stanberry 	MO 	--3--6-- 	RL 	0607 	 	4012N 09432W 	 
 	US  SH6 	Standish 	Standish 	MI 	-23--6-- 	RL 	0607 	 	4359N 08358W 	 
 	US  TDH 	Standish 	Standish 	ME 	--3----- 	RL 	0901 	 	4344N 07033W 	 
 	US  SF8 	Stanfield 	Stanfield 	OR 	--3----- 	RL 	0901 	 	4546N 11912W 	 
 	US  TFD 	Stanfield 	Stanfield 	AZ 	--3--6-- 	RL 	0607 	 	3252N 11157W 	 
 	US  SF5 	Stanfield 	Stanfield 	NC 	--3----- 	RL 	0901 	 	3514N 08025W 	 
 	US  TNQ 	Stanford 	Stanford 	CA 	--3----- 	RL 	0701 	 	3725N 12209W 	 
 	US  TAN 	Stanford 	Stanford 	KY 	-23----- 	RL 	0401 	 	3731N 08439W 	 
 	US  JDV 	Stanfordville 	Stanfordville 	NY 	--3----- 	RQ 	1001 	 	4152N 07342W 	 
 	US  STN 	Stanhope 	Stanhope 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  ST4 	Stanley 	Stanley 	ID 	--3----- 	RQ 	0907 	 	4413N 11456W 	 
 	US  S5Y 	Stanley 	Stanley 	ND 	--3----- 	RL 	1301 	 	4819N 10223W 	 
 	US  UZA 	Stanley 	Stanley 	NC 	--3----- 	RQ 	9008 	 	 	 
 	US  EYZ 	Stanley 	Stanley 	NY 	--3----- 	RL 	1201 	 	4249N 07705W 	 
 	US  NYL 	Stanley 	Stanley 	WI 	-23--6-- 	RL 	0607 	 	4457N 09056W 	 
 	US  SYJ 	Stanley 	Stanley 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  SZT 	Stanleytown 	Stanleytown 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  SR9 	Stansbury park 	Stansbury park 	UT 	1----6-- 	RL 	1201 	 	4038N 11217W 	 
 	US  NZK 	Stanton 	Stanton 	IA 	--3----- 	RL 	1301 	 	4058N 09506W 	 
 	US  SO7 	Stanton 	Stanton 	TN 	--3----- 	RL 	0901 	 	3527N 08924W 	 
 	US  STI 	Stanton 	Stanton 	CA 	--3----- 	RL 	0507 	 	3348N 11759W 	 
 	US  STX 	Stanton 	Stanton 	TX 	--3----- 	RQ 	9307 	 	 	 
 	US  SX8 	Stanton 	Stanton 	KY 	--3--6-- 	RQ 	1001 	 	3750N 08351W 	 
 	US  SYN 	Stanton 	Stanton 	MN 	---4---- 	AI 	0001 	 	 	 
 	US  ZJA 	Stanton 	Stanton 	MO 	-----6-- 	RL 	0901 	 	3816N 09106W 	 
+ 	US  2SB 	Stantonsburg 	Stantonsburg 	NC 	--3----- 	RL 	1601 	 	3536N 07749W 	 
 	US  TV8 	Stantonville 	Stantonville 	TN 	--3----- 	RL 	1107 	 	3509N 08825W 	 
+ 	US  S4V 	Stanville 	Stanville 	KY 	--3----- 	RL 	1601 	 	3734N 08238W 	 
 	US  SNW 	Stanwood 	Stanwood 	WA 	--3----- 	RQ 	9307 	 	 	 
 	US  QTD 	Stanwood 	Stanwood 	MI 	--3----- 	RL 	1107 	 	4334N 08526W 	 
 	US  VVK 	Staples 	Staples 	MN 	-23----- 	RL 	0607 	 	4621N 09446W 	 
 	US  TAE 	Stapleton 	Stapleton 	GA 	--3--6-- 	RL 	0401 	 	3312N 08228W 	 
 	US  TPN 	Stapleton 	Stapleton 	NE 	--3----- 	RL 	0607 	 	4128N 10030W 	 
 	US  VSQ 	Stapleton 	Stapleton 	AL 	--3----- 	RL 	0607 	 	3044N 08747W 	 
 	US  YRX 	Star 	Star 	NC 	1----6-- 	RL 	0901 	 	3524N 07947W 	 
 	US  KTA 	Star 	Star 	TX 	--3----- 	RL 	0901 	 	3128N 09819W 	 
 	US  9SB 	Starbuck 	Starbuck 	MN 	--3----- 	RL 	1301 	 	4536N 09531W 	 
 	US  XMU 	Starke 	Starke 	FL 	--3----- 	RQ 	9307 	 	 	 
 	US  SXK 	Starkville 	Starkville 	MS 	--3----- 	RQ 	9307 	 	 	 
 	US  RL5 	Starlight 	Starlight 	IN 	1----6-- 	RL 	1201 	 	3824N 08553W 	 
 	US  XAR 	Starr 	Starr 	SC 	123--6-- 	RL 	0307 	 	3422N 08241W 	 
 	US  XMT 	Startex 	Startex 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  SU2 	Startup 	Startup 	WA 	--3----- 	RL 	0901 	 	4752N 12144W 	 
 	US  SCE 	State College 	State College 	PA 	---4---- 	AI 	9601 	 	 	 
 	US  TTI 	Stateline 	Stateline 	NV 	--3----- 	RL 	0607 	 	3858N 11956W 	 
 	US  UYU 	Staten Island 	Staten Island 	NY 	--3----- 	RL 	1101 	 	4035N 07409W 	 
 	US  TBR 	Statesboro 	Statesboro 	GA 	---4---- 	AI 	9601 	 	 	 
 	US  SVH 	Statesville 	Statesville 	NC 	--34---- 	AI 	9601 	 	 	 
 	US  ZIQ 	Statesville 	Statesville 	VA 	-----6-- 	RL 	0901 	 	3632N 07704W 	 
 	US  ST3 	Statham 	Statham 	GA 	-----6-- 	RQ 	0907 	 	3357N 08335W 	 
 	US  UNT 	Staunton 	Staunton 	IL 	-23----- 	RL 	0607 	 	3900N 08947W 	 
 	US  SHD 	Staunton 	Staunton 	VA 	--34---- 	AI 	9601 	 	 	 
 	US  SAY 	Stayton 	Stayton 	OR 	--3----- 	RQ 	9307 	 	 	 
 	US  WSB 	Steamboat Bay 	Steamboat Bay 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  SBS 	Steamboat Springs 	Steamboat Springs 	CO 	---4---- 	AI 	9601 	 	 	 
 	US  WBB 	Stebbins 	Stebbins 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  YDM 	Stedman 	Stedman 	NC 	-23--6-- 	RL 	0607 	 	3501N 07842W 	 
 	US  SXI 	Steele 	Steele 	AL 	-23--6-- 	RL 	0401 	 	3356N 08612W 	 
 	US  NDZ 	Steele 	Steele 	ND 	----5--- 	RL 	1401 	 	4651N 09955W 	 
 	US  QTL 	Steele 	Steele 	MO 	-23----- 	RL 	0901 	 	3605N 08950W 	 
 	US  VTS 	Steeleville 	Steeleville 	IL 	-23--6-- 	RL 	0701 	 	3800N 08939W 	 
 	US  QQX 	Steelton 	Steelton 	PA 	1----6-- 	RL 	0901 	 	4014N 07650W 	 
 	US  QTV 	Steelville 	Steelville 	MO 	--3----- 	RQ 	0907 	 	3758N 09121W 	 
 	US  SGQ 	Steger 	Steger 	IL 	-23----- 	RL 	1401 	 	4128N 08738W 	 
 	US  SIC 	Steilacoom 	Steilacoom 	WA 	--3----- 	RQ 	9307 	 	 	 
 	US  TST 	Stennis Space Center 	Stennis Space Center 	MS 	--3--6-- 	RL 	0607 	 	3022N 08937W 	 
 	US  ZSP 	Stephen 	Stephen 	MN 	1234-6-- 	RL 	0307 	 	4827N 09652W 	 
 	US  4ST 	Stephens 	Stephens 	VA 	--3----- 	RL 	1207 	 	3659N 08236W 	 
 	US  EPS 	Stephenson 	Stephenson 	MI 	-23----- 	RL 	0607 	 	4524N 08736W 	 
 	US  TEP 	Stephentown 	Stephentown 	NY 	1-3--6-- 	RL 	0307 	 	4232N 07322W 	 
 	US  SEP 	Stephenville 	Stephenville 	TX 	---4---- 	AI 	9601 	 	 	 
 	US  SGV 	Sterling 	Sterling 	VA 	--3----- 	RQ 	9307 	 	 	 
 	US  XLS 	Sterling 	Sterling 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  STK 	Sterling 	Sterling 	CO 	---4---- 	AI 	9601 	 	 	 
 	US  SGI 	Sterling 	Sterling 	IL 	123----- 	RL 	0401 	 	4147N 08941W 	 
 	US  SIG 	Sterling 	Sterling 	AK 	--3----- 	RQ 	9307 	 	 	 
 	US  SEK 	Sterling 	Sterling 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  S9G 	Sterling 	Sterling 	CT 	--3----- 	RL 	1301 	 	4142N 07149W 	 
 	US  S8R 	Sterling 	Sterling 	KS 	--3----- 	RL 	1301 	 	3812N 09812W 	 
 	US  RZF 	Sterling 	Sterling 	ND 	--3----- 	RL 	1307 	 	4648N 10017W 	 
 	US  HZ3 	Sterling 	Sterling 	OH 	--3----- 	RL 	1301 	 	4058N 08150W 	 
 	US  SKA 	Sterling 	Sterling 	MI 	-23----- 	RL 	0901 	 	4402N 08401W 	 
 	US  YTE 	Sterling City 	Sterling City 	TX 	--3----- 	RL 	0701 	 	3150N 10059W 	 
 	US  SEH 	Sterling Heights 	Sterling Heights 	MI 	--3----- 	RQ 	9307 	 	 	 
 	US  SQI 	Sterling-Rockfalls Apt 	Sterling-Rockfalls Apt 	IL 	---4---- 	AI 	0307 	 	4144N 08940W 	 
 	US  SEX 	Sterlington 	Sterlington 	LA 	--3----- 	RQ 	9307 	 	 	 
 	US  UYJ 	Steubenville 	Steubenville 	OH 	--3----- 	RQ 	9008 	 	 	 
 	US  SS7 	Stevens 	Stevens 	PA 	--3--6-- 	RL 	0607 	 	4013N 07608W 	 
 	US  STE 	Stevens Point 	Stevens Point 	WI 	---4---- 	AI 	9601 	 	 	 
 	US  SVS 	Stevens Village 	Stevens Village 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  ZSB 	Stevensburg 	Stevensburg 	VA 	1-3--6-- 	RL 	0307 	 	3826N 07754W 	 
 	US  EVS 	Stevenson 	Stevenson 	WA 	--3----- 	RL 	0901 	 	4541N 12153W 	 
 	US  SJZ 	Stevenson 	Stevenson 	AL 	--3----- 	RQ 	9307 	 	 	 
 	US  S3H 	Stevenson Ranch 	Stevenson Ranch 	CA 	--3----- 	RL 	1407 	 	3423N 11835W 	 
 	US  SLW 	Stevensville 	Stevensville 	MI 	--3----- 	RL 	0105 	 	4201N 08631W 	 
 	US  SVV 	Stevensville 	Stevensville 	MD 	--3----- 	RQ 	9307 	 	 	 
 	US  TES 	Stevensville 	Stevensville 	MT 	-23----- 	RL 	0401 	 	4630N 11405W 	 
 	US  TER 	Stewart 	Stewart 	AL 	-23--6-- 	RL 	0401 	 	3254N 08742W 	Hale 
 	US  TWT 	Stewart 	Stewart 	AL 	--3--6-- 	RL 	0401 	 	3350N 08749W 	Fayette 
 	US  TWM 	Stewart, McLeod 	Stewart, McLeod 	MN 	123--6-- 	RL 	0501 	 	4443N 09421W 	 
 	US  QTW 	Stewartsville 	Stewartsville 	NJ 	--3----- 	RL 	1307 	 	4041N 07506W 	 
 	US  SV7 	Stewartville 	Stewartville 	MN 	--3--6-- 	RL 	0607 	 	4351N 09229W 	 
 	US  SKT 	Stickney 	Stickney 	IL 	123--6-- 	RL 	0401 	 	4149N 08746W 	 
 	US  VVR 	Stigler 	Stigler 	OK 	--3--6-- 	RL 	0901 	 	3515N 09507W 	 
 	US  LLM 	Stillmore 	Stillmore 	GA 	1-3--6-- 	RL 	0307 	 	3226N 08212W 	 
 	US  VSW 	Stillwater 	Stillwater 	NJ 	--3----- 	RL 	0607 	 	4102N 07453W 	 
 	US  IAK 	Stillwater 	Stillwater 	OH 	-23----- 	RL 	0901 	 	4019N 08119W 	 
 	US  SWO 	Stillwater 	Stillwater 	OK 	---4---- 	AI 	9601 	 	 	 
 	US  TIS 	Stillwater 	Stillwater 	MN 	123----- 	RL 	0607 	 	4503N 09248W 	 
 	US  TLZ 	Stilwell 	Stilwell 	KS 	--3----- 	RL 	1301 	 	3846N 09439W 	 
 	US  QSL 	Stilwell 	Stilwell 	OK 	-23--6-- 	RL 	0901 	 	3549N 09438W 	 
 	US  TRG 	Stirling 	Stirling 	NJ 	-23----- 	RL 	0607 	 	4040N 07430W 	 
 	US  S4T 	Stittville 	Stittville 	NY 	-23----- 	RL 	0901 	 	4313N 07517W 	 
 	US  KGB 	Stockbridge 	Stockbridge 	VT 	--3--6-- 	RL 	0601 	 	4347N 07245W 	 
 	US  SKB 	Stockbridge 	Stockbridge 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  SKG 	Stockbridge 	Stockbridge 	MI 	--3----- 	RQ 	0101 	 	 	 
 	US  TCB 	Stockbridge 	Stockbridge 	MA 	--3----- 	RL 	1207 	 	4217N 07319W 	 
 	US  SD4 	Stockdale 	Stockdale 	TX 	--3----- 	RL 	0607 	 	2914N 09757W 	 
 	US  STT 	Stockertown 	Stockertown 	PA 	--3----- 	RQ 	9307 	 	 	 
 	US  TK9 	Stockett 	Stockett 	MT 	1----6-- 	RL 	1201 	 	4721N 11110W 	 
 	US  TZK 	Stockton 	Stockton 	AL 	--3----- 	RL 	1307 	 	3059N 08751W 	 
 	US  ZOS 	Stockton 	Stockton 	NJ 	-23--6-- 	RL 	0401 	 	4024N 07458W 	 
 	US  TC8 	Stockton 	Stockton 	IL 	--3----- 	RL 	1401 	 	4220N 09000W 	 
 	US  S3T 	Stockton 	Stockton 	KS 	--3----- 	RL 	1401 	 	3926N 09915W 	 
 	US  JSK 	Stockton 	Stockton 	MO 	--3----- 	RL 	1301 	 	3741N 09347E 	 
 	US  SCK 	Stockton 	Stockton 	CA 	1-34---- 	AI 	1101 	 	3757N 12117W 	 
 	US  TDU 	Stoddard 	Stoddard 	WI 	--3----- 	RL 	1307 	 	4339N 09113W 	 
 	US  KVE 	Stokesdale 	Stokesdale 	NC 	--3----- 	RL 	0201 	 	3614N 07958W 	 
 	US  STO 	Stone 	Stone 	SC 	--3----- 	RQ 	9307 	 	 	 
 	US  SUM 	Stone Mountain 	Stone Mountain 	GA 	--3----- 	RQ 	9307 	 	 	 
 	US  OEK 	Stone Park 	Stone Park 	IL 	--3----- 	RL 	0701 	 	4154N 08753W 	 
 	US  YYR 	Stone Ridge, Ulster 	Stone Ridge, Ulster 	NY 	--3--6-- 	RL 	0901 	 	4151N 07408W 	 
 	US  TOF 	Stoneboro 	Stoneboro 	PA 	--3----- 	RL 	0701 	 	4120N 08006W 	 
 	US  STU 	Stoneham 	Stoneham 	MA 	--3----- 	RQ 	9506 	 	 	 
 	US  SHT 	Stonehurst 	Stonehurst 	CA 	--3----- 	RQ 	9307 	 	 	 
 	US  STV 	Stoneville 	Stoneville 	MS 	--3----- 	RQ 	9307 	 	 	 
 	US  SVX 	Stoneville 	Stoneville 	NC 	--3----- 	RQ 	9307 	 	 	 
 	US  LA9 	Stonewall 	Stonewall 	LA 	--3----- 	RL 	1501 	 	3216N 09349W 	 
 	US  SWL 	Stonewall 	Stonewall 	MS 	--3----- 	RQ 	9307 	 	 	 
 	US  XVS 	Stonewood 	Stonewood 	WV 	--3----- 	RL 	0901 	 	3915N 08018W 	 
+ 	US  UP5 	Stoney Fork 	Stoney Fork 	KY 	--3----- 	RL 	1601 	 	3649N 08332W 	 
 	US  SN6 	Stonington 	Stonington 	IL 	-----6-- 	RL 	1401 	 	3938N 08911W 	 
 	US  SGN 	Stonington 	Stonington 	CT 	123--6-- 	RL 	0607 	 	4120N 07154W 	 
 	US  SG4 	Stonington 	Stonington 	ME 	--3----- 	RL 	0701 	 	4409N 06839W 	 
 	US  ZTY 	Stony Brook 	Stony Brook 	NY 	--3----- 	RL 	0701 	 	4055N 07308W 	 
 	US  S8T 	Stony Point 	Stony Point 	NY 	1------- 	RL 	1301 	 	4113N 07359W 	 
 	US  YOT 	Stony Point 	Stony Point 	NC 	--3----- 	RQ 	0901 	 	3551N 08102W 	 
 	US  NYI 	Stony Point, Rockland 	Stony Point, Rockland 	NY 	123--6-- 	RL 	0607 	 	4114N 07359W 	 
 	US  DQE 	Stony Ridge 	Stony Ridge 	OH 	--3----- 	RL 	0901 	 	4130N 08330W 	 
 	US  SRV 	Stony River 	Stony River 	AK 	---4---- 	AI 	0001 	 	 	 
 	US  SO9 	Stookey 	Stookey 	IL 	1----6-- 	RL 	1201 	 	3830N 09005W 	 
 	US  SLB 	Storm Lake 	Storm Lake 	IA 	---4---- 	AI 	9601 	 	 	 
 	US  ZST 	Stormville 	Stormville 	NY 	1------- 	RL 	0201 	 	4134N 07344W 	 
 	US  ITY 	Story City 	Story City 	IA 	--3----- 	RL 	0307 	 	4211N 09335W 	 
 	US  SOU 	Stoughton 	Stoughton 	MA 	--3----- 	RQ 	9307 	 	 	 
 	US  ZTN 	Stoughton 	Stoughton 	WI 	--3----- 	RL 	0201 	 	4255N 08913W 	 
 	US  QUL 	Stoutland 	Stoutland 	MO 	--3----- 	RL 	1201 	 	3748N 09230W 	 
 	US  S25 	Stovall 	Stovall 	NC 	--3----- 	AA 	1507 	 	3626N 07834W 	 
 	US  SWT 	Stow 	Stow 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  VOW 	Stow 	Stow 	NY 	1-3----- 	RL 	0901 	 	4209N 07924W 	 
 	US  MMN 	Stow 	Stow 	MA 	--34---- 	RQ 	9704 	 	 	 
 	US  MVL 	Stowe 	Stowe 	VT 	---4---- 	AI 	0001 	 	 	 
 	US  XTW 	Stowe 	Stowe 	PA 	--3----- 	RL 	1301 	 	4015N 07540W 	 
 	US  QST 	Stoystown 	Stoystown 	PA 	123--6-- 	RL 	0307 	 	4006N 07856W 	 
 	US  SFF 	Strafford 	Strafford 	MO 	--3----- 	RQ 	9307 	 	 	 
 	US  SNB 	Strang 	Strang 	TX 	-2------ 	RQ 	0207 	 	 	 
 	US  QQZ 	Strasburg 	Strasburg 	PA 	--3--6-- 	RL 	0401 	 	3958N 07611W 	 
 	US  SBG 	Strasburg 	Strasburg 	OH 	--3----- 	RQ 	9307 	 	 	 
 	US  SRS 	Strasburg 	Strasburg 	VA 	--3----- 	RQ 	9008 	 	 	 
 	US  JSD 	Stratford 	Stratford 	CT 	--34---- 	AI 	9601 	 	 	 
 	US  TFO 	Stratford 	Stratford 	WI 	1-3----- 	RL 	0601 	 	4448N 09004W 	 
 	US  SDZ 	Stratford 	Stratford 	NJ 	--3----- 	RQ 	9307 	 	 	 
 	US  9SF 	Stratford 	Stratford 	CA 	--3--6-- 	RL 	1207 	 	3611N 11949W 	 
 	US  3ST 	Stratford 	Stratford 	TX 	--3----- 	RL 	1207 	 	3620N 10204W 	 
 	US  ZTT 	Stratford 	Stratford 	OK 	--3----- 	RL 	0901 	 	3447N 09657W 	 
